user_id,user_name,flagged,mean_proba,all,ratio,rank_flagged,rank_ratio,rank_proba,mean_rank,flagged_cum
17360470,vimpel1970,7,0.78242177,7,1,50,1,96,49,775
22884178,Ciutadella,7,0.7859229,8,0.875,50,9,89,49.333333333333336,783
22826388,Allawi Al-badiri,1,0.7844928,1,1,56,1,92,49.666666666666664,784
19825702,sculpture705,3,0.7795369,3,1,54,1,98,51,787
22818374,SDhali,1,0.81384224,2,0.5,56,37,60,51,789
22845914,kurxizz,1,0.8480531,3,0.3333333333333333,56,61,37,51.333333333333336,792
22772797,Злоказов Андрей Сергеевич,1,0.80921394,2,0.5,56,37,62,51.666666666666664,794
22825929,伴醉Banzui,1,0.7763027,1,1,56,1,100,52.333333333333336,795
21741990,2137xd,1,0.8411791,3,0.3333333333333333,56,61,41,52.666666666666664,798
22786993,ntshkp,1,0.77600783,1,1,56,1,101,52.666666666666664,799
22850613,NoobyNerd,1,0.8409646,3,0.3333333333333333,56,61,42,53,802
22849569,AMO13,1,0.77265,1,1,56,1,103,53.333333333333336,803
22880602,QuimPique,1,0.7712365,1,1,56,1,104,53.666666666666664,804
22721617,Mahdevar,1,0.80194044,2,0.5,56,37,68,53.666666666666664,806
11294389,Michael Montani_revert,1,0.77110326,1,1,56,1,105,54,807
22868596,Sergi2025,1,0.76862776,1,1,56,1,106,54.333333333333336,808
22810552,Auvergnator63,1,0.7663511,1,1,56,1,111,56,809
22884388,layan0423,1,0.7662175,1,1,56,1,112,56.333333333333336,810
22856543,Redme10c,4,0.8023144,10,0.4,53,50,67,56.666666666666664,820
22879234,muIberry313,12,0.76142645,13,0.9230769230769231,45,5,121,57,833
20395411,Lindsey Merle,1,0.7633756,1,1,56,1,117,58,834
22857298,shahid2282,1,0.7627545,1,1,56,1,118,58.333333333333336,835
22845312,Ing Yves,2,0.76183206,2,1,55,1,119,58.333333333333336,837
22840120,Muuuuuur,1,0.89695144,5,0.2,56,99,20,58.333333333333336,842
22802948,La Dorada,1,0.7616028,1,1,56,1,120,59,843
22844414,Ilya_2705,1,0.79048234,2,0.5,56,37,84,59,845
22681923,Bini33,1,0.76123023,1,1,56,1,122,59.666666666666664,846
21232179,denchik_2070-1,1,0.7862192,2,0.5,56,37,88,60.333333333333336,848
22788527,TomGregorovic,3,0.7795052,5,0.6,54,29,99,60.666666666666664,853
22819879,拾捌刺青18Ink Hk,2,0.75980926,2,1,55,1,126,60.666666666666664,855
22870863,leazaboxedyou,1,0.7580328,1,1,56,1,128,61.666666666666664,856
17388525,Виолетта1,2,0.7912642,5,0.4,55,50,81,62,861
22823323,MasterBen12345,2,0.7533833,2,1,55,1,131,62.333333333333336,863
22431700,Jesus$123,1,0.75462747,1,1,56,1,130,62.333333333333336,864
22842723,notryden,1,0.7531321,1,1,56,1,132,63,865
22826083,X86353,68,0.73649836,104,0.6538461538461539,14,24,153,63.666666666666664,969
14144489,hkmbaltimore,1,0.75162065,1,1,56,1,134,63.666666666666664,970
22487345,navismaps,1,0.7511325,1,1,56,1,135,64,971
21376241,Jorge4448567491,18,0.74385905,22,0.8181818181818182,39,12,142,64.33333333333333,993
22484986,WXY456,1,0.75098324,1,1,56,1,136,64.33333333333333,994
22889898,manuel rastrojo,17,0.7412095,19,0.8947368421052632,40,7,146,64.33333333333333,1013
22870875,VILLASTRONG,1,0.7479593,1,1,56,1,137,64.66666666666667,1014
17698612,FerroCarrilOSM,1,0.74785066,1,1,56,1,138,65,1015
22821510,bkjia,1,0.74368644,1,1,56,1,143,66.66666666666667,1016
22847635,Upstairs Empire,1,0.74280757,1,1,56,1,144,67,1017
22880473,Stephen Dransfield,1,0.7414685,1,1,56,1,145,67.33333333333333,1018
22857533,kedooooooo,1,0.7670975,2,0.5,56,37,110,67.66666666666667,1020
22069589,mapper02,17,0.738877,21,0.8095238095238095,40,13,150,67.66666666666667,1041
22839878,emreeemutlu,1,0.78626215,3,0.3333333333333333,56,61,87,68,1044
22886061,Anasjehad,1,0.7401,1,1,56,1,148,68.33333333333333,1045
3362013,PropertyVIEW®,1,0.7648689,2,0.5,56,37,113,68.66666666666667,1047
22841331,Muhaymin En,1,0.76485103,2,0.5,56,37,114,69,1049
22182076,Niuu,4,0.74405396,5,0.8,53,14,141,69.33333333333333,1054
22861598,jamal salmani,1,0.7644427,2,0.5,56,37,115,69.33333333333333,1056
22660003,newairsupply,4,0.73586285,4,1,53,1,154,69.33333333333333,1060
22785712,desertmongoose,1,0.7644303,2,0.5,56,37,116,69.66666666666667,1062
22863451,Ardian Wahyu Nizar,1,0.73704964,1,1,56,1,152,69.66666666666667,1063
22751515,Mila2012,1,0.7838589,3,0.3333333333333333,56,61,94,70.33333333333333,1066
22837203,Train Like Rob-Personal Trainer Vancouver,1,0.7832445,3,0.3333333333333333,56,61,95,70.66666666666667,1069
22878376,ksusha22233,2,0.73378605,2,1,55,1,156,70.66666666666667,1071
22791670,Nova Rosman,1,0.73539346,1,1,56,1,155,70.66666666666667,1072
13776672,jose107272,2,0.73372346,2,1,55,1,157,71,1074
22825432,EspanyaEsUnPais,3,0.73114675,3,1,54,1,160,71.66666666666667,1077
21806270,chrispace,6,0.73004884,6,1,51,1,164,72,1083
22786181,chaeshire,1,0.760577,2,0.5,56,37,124,72.33333333333333,1085
12171351,حيدر كاطع البزوني,2,0.7306714,2,1,55,1,162,72.66666666666667,1087
22848218,陈梦溪,1,0.73077536,1,1,56,1,161,72.66666666666667,1088
22588018,La Guardia,3,0.75850886,6,0.5,54,37,127,72.66666666666667,1094
22868022,MartinSerrallo,1,0.77422744,3,0.3333333333333333,56,61,102,73,1097
22794563,Bison Ranger,1,0.8426795,7,0.14285714285714285,56,125,40,73.66666666666667,1104
22862558,sakshi gupta 3101,1,0.755983,2,0.5,56,37,129,74,1106
22795152,Jerry Lee\,6,0.72843105,6,1,51,1,171,74.33333333333333,1112
22824610,A_PEREZ_M,1,0.7297104,1,1,56,1,166,74.33333333333333,1113
22815372,Sérgio Silveira,1,0.7289661,1,1,56,1,167,74.66666666666667,1114
22879154,mulberry313,13,0.7224053,13,1,44,1,180,75,1127
22842692,NS-Sirens (alt),1,0.7530105,2,0.5,56,37,133,75.33333333333333,1129
22828920,fortstudio,1,0.7288334,1,1,56,1,170,75.66666666666667,1130
22830129,ayman ta jam,1,0.7275302,1,1,56,1,172,76.33333333333333,1131
22220715,Bobby10901,3,0.72704864,3,1,54,1,175,76.66666666666667,1134
22870212,jimbog07,1,0.7274882,1,1,56,1,174,77,1135
22872384,lapotik76,3,0.7242696,3,1,54,1,178,77.66666666666667,1138
22842908,Jon Jepa,1,0.74030805,2,0.5,56,37,147,80,1140
22850828,IKushner,1,0.72154,1,1,56,1,183,80,1141
22879754,Optronlab,1,0.78731126,5,0.2,56,99,86,80.33333333333333,1146
22849534,dentistpinevillenc,1,0.720854,1,1,56,1,184,80.33333333333333,1147
22883986,grecowiki,1,0.84547573,10,0.1,56,148,38,80.66666666666667,1157
22861944,ervanur,1,0.73962384,2,0.5,56,37,149,80.66666666666667,1159
22681954,karen02,1,0.7203423,1,1,56,1,185,80.66666666666667,1160
21603662,Глеб Ткаченко,1,0.7194996,1,1,56,1,188,81.66666666666667,1161
22421744,samjbaris,3,0.7176512,3,1,54,1,193,82.66666666666667,1164
22850541,verievgen,1,0.80059636,7,0.14285714285714285,56,125,70,83.66666666666667,1171
22794040,Hooptie Bike Lounge,1,0.7170806,1,1,56,1,194,83.66666666666667,1172
22870458,RicardCastell,1,0.7320458,2,0.5,56,37,158,83.66666666666667,1174
22853250,IV Fairgrounds,1,0.7142521,1,1,56,1,198,85,1175
22878075,Wital123,1,0.71415925,1,1,56,1,199,85.33333333333333,1176
19056762,TheJTornero,1,0.7465701,3,0.3333333333333333,56,61,139,85.33333333333333,1179
22719518,Prasanna Devi,16,0.709833,18,0.8888888888888888,41,8,208,85.66666666666667,1197
22837910,JULESD15,1,0.7299437,2,0.5,56,37,165,86,1199
22755811,miliiiiii,1,0.7126323,1,1,56,1,202,86.33333333333333,1200
22843016,Pas inspiré,1,0.76024204,4,0.25,56,79,125,86.66666666666667,1204
22880756,Bilal1,1,0.7843719,6,0.16666666666666666,56,111,93,86.66666666666667,1210
22855288,Burhan Akdogan,1,0.71215844,1,1,56,1,203,86.66666666666667,1211
22814741,bndermustafa1,1,0.7120031,1,1,56,1,204,87,1212
